연도,품목,지역,구분,물동량_톤
2019,"의복, 의복 액세서리 및 모피제품",전북,반출,48401
2019,"의복, 의복 액세서리 및 모피제품",전북,합계,75406
2019,"의복, 의복 액세서리 및 모피제품",전남,반입,38349
2019,"의복, 의복 액세서리 및 모피제품",전남,반출,1326
2019,"의복, 의복 액세서리 및 모피제품",전남,합계,39675
2019,"의복, 의복 액세서리 및 모피제품",경북,반입,132472
2019,"의복, 의복 액세서리 및 모피제품",경북,반출,11287
2019,"의복, 의복 액세서리 및 모피제품",경북,합계,143759
2019,"의복, 의복 액세서리 및 모피제품",경남,반입,93408
2019,"의복, 의복 액세서리 및 모피제품",경남,반출,7256
2019,"의복, 의복 액세서리 및 모피제품",경남,합계,100664
2019,"의복, 의복 액세서리 및 모피제품",제주,반입,0
2019,"의복, 의복 액세서리 및 모피제품",제주,반출,0
2019,"의복, 의복 액세서리 및 모피제품",제주,합계,0
2019,"가죽, 가방 및 신발제품",서울,반입,123097
2019,"가죽, 가방 및 신발제품",서울,반출,11151
2019,"가죽, 가방 및 신발제품",서울,합계,134248
2019,"가죽, 가방 및 신발제품",부산,반입,9348
2019,"가죽, 가방 및 신발제품",부산,반출,71049
2019,"가죽, 가방 및 신발제품",부산,합계,80397
2019,"가죽, 가방 및 신발제품",대구,반입,1328
2019,"가죽, 가방 및 신발제품",대구,반출,31834
2019,"가죽, 가방 및 신발제품",대구,합계,33162
2019,"가죽, 가방 및 신발제품",인천,반입,16342
2019,"가죽, 가방 및 신발제품",인천,반출,5068
2019,"가죽, 가방 및 신발제품",인천,합계,21410
2019,"가죽, 가방 및 신발제품",광주,반입,2864
2019,"가죽, 가방 및 신발제품",광주,반출,0
2019,"가죽, 가방 및 신발제품",광주,합계,2864
2019,"가죽, 가방 및 신발제품",세종,반입,353
2019,"가죽, 가방 및 신발제품",세종,반출,0
2019,"가죽, 가방 및 신발제품",세종,합계,353
2019,"가죽, 가방 및 신발제품",대전,반입,2982
2019,"가죽, 가방 및 신발제품",대전,반출,1791
2019,"가죽, 가방 및 신발제품",대전,합계,4773
2019,"가죽, 가방 및 신발제품",울산,반입,4970
2019,"가죽, 가방 및 신발제품",울산,반출,1305
2019,"가죽, 가방 및 신발제품",울산,합계,6275
2019,"가죽, 가방 및 신발제품",경기,반입,71625
2019,"가죽, 가방 및 신발제품",경기,반출,73854
2019,"가죽, 가방 및 신발제품",경기,합계,145479
2019,"가죽, 가방 및 신발제품",강원,반입,2695
2019,"가죽, 가방 및 신발제품",강원,반출,0
2019,"가죽, 가방 및 신발제품",강원,합계,2695
2019,"가죽, 가방 및 신발제품",충북,반입,4089
2019,"가죽, 가방 및 신발제품",충북,반출,48083
2019,"가죽, 가방 및 신발제품",충북,합계,52172
2019,"가죽, 가방 및 신발제품",충남,반입,6775
2019,"가죽, 가방 및 신발제품",충남,반출,430
2019,"가죽, 가방 및 신발제품",충남,합계,7205
2019,"가죽, 가방 및 신발제품",전북,반입,2714
2019,"가죽, 가방 및 신발제품",전북,반출,4147
2019,"가죽, 가방 및 신발제품",전북,합계,6861
2019,"가죽, 가방 및 신발제품",전남,반입,3352
2019,"가죽, 가방 및 신발제품",전남,반출,0
2019,"가죽, 가방 및 신발제품",전남,합계,3352
2019,"가죽, 가방 및 신발제품",경북,반입,7176
2019,"가죽, 가방 및 신발제품",경북,반출,5812
2019,"가죽, 가방 및 신발제품",경북,합계,12988
2019,"가죽, 가방 및 신발제품",경남,반입,12759
2019,"가죽, 가방 및 신발제품",경남,반출,17945
2019,"가죽, 가방 및 신발제품",경남,합계,30704
2019,"가죽, 가방 및 신발제품",제주,반입,0
2019,"가죽, 가방 및 신발제품",제주,반출,0
2019,"가죽, 가방 및 신발제품",제주,합계,0
2019,목재 및 나무제품(가구제외),서울,반입,456010
2019,목재 및 나무제품(가구제외),서울,반출,31847
2019,목재 및 나무제품(가구제외),서울,합계,487857
2019,목재 및 나무제품(가구제외),부산,반입,479807
2019,목재 및 나무제품(가구제외),부산,반출,85663
2019,목재 및 나무제품(가구제외),부산,합계,565470
2019,목재 및 나무제품(가구제외),대구,반입,197347
2019,목재 및 나무제품(가구제외),대구,반출,30992
2019,목재 및 나무제품(가구제외),대구,합계,228339
2019,목재 및 나무제품(가구제외),인천,반입,280019
2019,목재 및 나무제품(가구제외),인천,반출,1383059
2019,목재 및 나무제품(가구제외),인천,합계,1663078
2019,목재 및 나무제품(가구제외),광주,반입,64677
2019,목재 및 나무제품(가구제외),광주,반출,227279
2019,목재 및 나무제품(가구제외),광주,합계,291956
2019,목재 및 나무제품(가구제외),세종,반입,30814
2019,목재 및 나무제품(가구제외),세종,반출,21982
2019,목재 및 나무제품(가구제외),세종,합계,52796
2019,목재 및 나무제품(가구제외),대전,반입,80700
2019,목재 및 나무제품(가구제외),대전,반출,36282
2019,목재 및 나무제품(가구제외),대전,합계,116982
2019,목재 및 나무제품(가구제외),울산,반입,274262
2019,목재 및 나무제품(가구제외),울산,반출,97367
2019,목재 및 나무제품(가구제외),울산,합계,371629
2019,목재 및 나무제품(가구제외),경기,반입,1573543
2019,목재 및 나무제품(가구제외),경기,반출,1030686
2019,목재 및 나무제품(가구제외),경기,합계,2604229
2019,목재 및 나무제품(가구제외),강원,반입,101135
2019,목재 및 나무제품(가구제외),강원,반출,491226
2019,목재 및 나무제품(가구제외),강원,합계,592361
2019,목재 및 나무제품(가구제외),충북,반입,417694
2019,목재 및 나무제품(가구제외),충북,반출,172322
2019,목재 및 나무제품(가구제외),충북,합계,590016
2019,목재 및 나무제품(가구제외),충남,반입,443790
2019,목재 및 나무제품(가구제외),충남,반출,457478
2019,목재 및 나무제품(가구제외),충남,합계,901268
2019,목재 및 나무제품(가구제외),전북,반입,134858
2019,목재 및 나무제품(가구제외),전북,반출,1005325
2019,목재 및 나무제품(가구제외),전북,합계,1140183
2019,목재 및 나무제품(가구제외),전남,반입,319733
2019,목재 및 나무제품(가구제외),전남,반출,107398
2019,목재 및 나무제품(가구제외),전남,합계,427131
2019,목재 및 나무제품(가구제외),경북,반입,600263
2019,목재 및 나무제품(가구제외),경북,반출,265993
2019,목재 및 나무제품(가구제외),경북,합계,866256
2019,목재 및 나무제품(가구제외),경남,반입,523636
2019,목재 및 나무제품(가구제외),경남,반출,533389
2019,목재 및 나무제품(가구제외),경남,합계,1057025
2019,목재 및 나무제품(가구제외),제주,반입,0
