"year","base_city","base_region_kr","base_region_en","target_city","target_region_kr","target_region_en","direction","cargo_volume","ratio"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","도착","4030889","1.48"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","출발","1662469","0.69"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","출발","1414284","0.59"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","출발","2363623","0.98"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","도착","1225071","0.45"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","도착","76411","0.03"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","도착","759505","0.28"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","출발","2828489","1.18"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","출발","2307201","0.96"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","출발","307115","0.13"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","도착","9916943","3.65"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","도착","557576","0.21"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","도착","4959200","1.82"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","출발","1347345","0.56"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","출발","298813","0.12"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","출발","3250221","1.35"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","도착","5390504","1.98"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","도착","1629672","0.60"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","도착","8303445","3.05"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","출발","4151459","1.73"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","출발","2571479","1.07"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","출발","613294","0.26"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","도착","683338","0.25"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","도착","4581243","1.68"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","도착","9482624","3.49"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","출발","4777632","1.99"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","출발","529705","0.22"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","출발","1999292","0.83"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","도착","0","0.00"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","도착","0","0.00"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","도착","0","0.00"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","출발","0","0.00"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","출발","0","0.00"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","출발","0","0.00"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","도착","1662469","0.61"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","도착","7269432","2.67"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","도착","77271817","28.42"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","출발","4030889","1.68"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","출발","77271817","32.17"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","출발","8215914","3.42"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","도착","1414284","0.52"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","도착","8215914","3.02"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","도착","18810808","6.92"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","출발","7269432","3.03"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","출발","18810808","7.83"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","출발","3494556","1.45"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","4321937","1.57"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","5011748","1.82"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","438456","0.16"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","522014","0.22"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","2748830","1.15"
