"year","date","industry","region_kr","region_en","avg_index","index_share_pct"
"2020","2020-10-01","총지수","전국","Nationwide",103.19,100
"2020","2020-10-01","총지수","기타","Others",102.48,16.56
"2020","2020-10-01","총지수","대전","Daejeon",105.1,16.98
"2020","2020-10-01","총지수","수도권","Capital Area",100.76,16.28
"2020","2020-10-01","총지수","영남권","Yeongnam",100.81,16.29
"2020","2020-10-01","총지수","충청권","Chungcheong",104.16,16.83
"2020","2020-10-01","총지수","호남권","Honam",105.59,17.06
"2020","2020-11-01","총지수","전국","Nationwide",102.79,100.01
"2020","2020-11-01","총지수","기타","Others",103.37,16.77
"2020","2020-11-01","총지수","대전","Daejeon",104.53,16.95
"2020","2020-11-01","총지수","수도권","Capital Area",100.33,16.27
"2020","2020-11-01","총지수","영남권","Yeongnam",101.52,16.47
"2020","2020-11-01","총지수","충청권","Chungcheong",105.28,17.08
"2020","2020-11-01","총지수","호남권","Honam",101.54,16.47
"2020","2020-12-01","총지수","전국","Nationwide",102.45,100
"2020","2020-12-01","총지수","기타","Others",103.39,16.82
"2020","2020-12-01","총지수","대전","Daejeon",101.43,16.51
"2020","2020-12-01","총지수","수도권","Capital Area",101.9,16.58
"2020","2020-12-01","총지수","영남권","Yeongnam",102.97,16.76
"2020","2020-12-01","총지수","충청권","Chungcheong",105.14,17.11
"2020","2020-12-01","총지수","호남권","Honam",99.68,16.22
"2021","2021-01-01","총지수","전국","Nationwide",102.47,100
"2021","2021-01-01","총지수","기타","Others",100.67,16.38
"2021","2021-01-01","총지수","대전","Daejeon",100.73,16.39
"2021","2021-01-01","총지수","수도권","Capital Area",104.86,17.07
"2021","2021-01-01","총지수","영남권","Yeongnam",102.06,16.61
"2021","2021-01-01","총지수","충청권","Chungcheong",106.73,17.37
"2021","2021-01-01","총지수","호남권","Honam",99.4,16.18
"2021","2021-02-01","총지수","전국","Nationwide",106.45,100
"2021","2021-02-01","총지수","기타","Others",103.87,16.27
"2021","2021-02-01","총지수","대전","Daejeon",106.87,16.74
"2021","2021-02-01","총지수","수도권","Capital Area",109.62,17.17
"2021","2021-02-01","총지수","영남권","Yeongnam",103.33,16.19
"2021","2021-02-01","총지수","충청권","Chungcheong",109.9,17.22
"2021","2021-02-01","총지수","호남권","Honam",104.72,16.41
"2021","2021-03-01","총지수","전국","Nationwide",104.77,100
"2021","2021-03-01","총지수","기타","Others",106.34,16.92
"2021","2021-03-01","총지수","대전","Daejeon",103.5,16.47
"2021","2021-03-01","총지수","수도권","Capital Area",106.59,16.96
"2021","2021-03-01","총지수","영남권","Yeongnam",104.25,16.59
"2021","2021-03-01","총지수","충청권","Chungcheong",106.11,16.89
"2021","2021-03-01","총지수","호남권","Honam",101.63,16.17
"2021","2021-04-01","총지수","전국","Nationwide",104.95,100
"2021","2021-04-01","총지수","기타","Others",103.31,16.41
"2021","2021-04-01","총지수","대전","Daejeon",105.67,16.78
"2021","2021-04-01","총지수","수도권","Capital Area",104.78,16.64
"2021","2021-04-01","총지수","영남권","Yeongnam",105.87,16.81
"2021","2021-04-01","총지수","충청권","Chungcheong",105.77,16.8
"2021","2021-04-01","총지수","호남권","Honam",104.27,16.56
"2021","2021-05-01","총지수","전국","Nationwide",104.05,99.99
