"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","경북","Yeongnam","영남권","5007881","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","경남","Yeongnam","영남권","2798203","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","제주","Others","기타","0","권역 간"
"2019","전북","Honam","호남권","서울","Capital Area","수도권","2208227","권역 간"
"2019","전북","Honam","호남권","부산","Yeongnam","영남권","3089907","권역 간"
"2019","전북","Honam","호남권","대구","Yeongnam","영남권","1203108","권역 간"
"2019","전북","Honam","호남권","인천","Capital Area","수도권","1688531","권역 간"
"2019","전북","Honam","호남권","광주","Honam","호남권","2159696","권역 내"
"2019","전북","Honam","호남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","696250","권역 간"
"2019","전북","Honam","호남권","대전","Daejeon","대전시","1989114","권역 간"
"2019","전북","Honam","호남권","울산","Yeongnam","영남권","1927584","권역 간"
"2019","전북","Honam","호남권","경기","Capital Area","수도권","10665850","권역 간"
"2019","전북","Honam","호남권","강원","Others","기타","2208814","권역 간"
"2019","전북","Honam","호남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","4676695","권역 간"
"2019","전북","Honam","호남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","9766402","권역 간"
"2019","전북","Honam","호남권","전북","Honam","호남권","36267802","권역 내"
"2019","전북","Honam","호남권","전남","Honam","호남권","8846343","권역 내"
"2019","전북","Honam","호남권","경북","Yeongnam","영남권","6027876","권역 간"
"2019","전북","Honam","호남권","경남","Yeongnam","영남권","4536023","권역 간"
"2019","전북","Honam","호남권","제주","Others","기타","0","권역 간"
"2019","전남","Honam","호남권","서울","Capital Area","수도권","2058909","권역 간"
"2019","전남","Honam","호남권","부산","Yeongnam","영남권","3911614","권역 간"
"2019","전남","Honam","호남권","대구","Yeongnam","영남권","1525855","권역 간"
"2019","전남","Honam","호남권","인천","Capital Area","수도권","2260270","권역 간"
"2019","전남","Honam","호남권","광주","Honam","호남권","7048069","권역 내"
"2019","전남","Honam","호남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","1676843","권역 간"
"2019","전남","Honam","호남권","대전","Daejeon","대전시","1308980","권역 간"
"2019","전남","Honam","호남권","울산","Yeongnam","영남권","4408399","권역 간"
"2019","전남","Honam","호남권","경기","Capital Area","수도권","13449679","권역 간"
"2019","전남","Honam","호남권","강원","Others","기타","3266261","권역 간"
"2019","전남","Honam","호남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","5782148","권역 간"
"2019","전남","Honam","호남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","9043056","권역 간"
"2019","전남","Honam","호남권","전북","Honam","호남권","8730761","권역 내"
"2019","전남","Honam","호남권","전남","Honam","호남권","129135963","권역 내"
"2019","전남","Honam","호남권","경북","Yeongnam","영남권","8121883","권역 간"
"2019","전남","Honam","호남권","경남","Yeongnam","영남권","9110439","권역 간"
"2019","전남","Honam","호남권","제주","Others","기타","0","권역 간"
"2019","경북","Yeongnam","영남권","서울","Capital Area","수도권","2387283","권역 간"
"2019","경북","Yeongnam","영남권","부산","Yeongnam","영남권","17204732","권역 내"
"2019","경북","Yeongnam","영남권","대구","Yeongnam","영남권","4254852","권역 내"
"2019","경북","Yeongnam","영남권","인천","Capital Area","수도권","1843616","권역 간"
"2019","경북","Yeongnam","영남권","광주","Honam","호남권","763300","권역 간"
"2019","경북","Yeongnam","영남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","490148","권역 간"
"2019","경북","Yeongnam","영남권","대전","Daejeon","대전시","1077966","권역 간"
"2019","경북","Yeongnam","영남권","울산","Yeongnam","영남권","8539236","권역 내"
"2019","경북","Yeongnam","영남권","경기","Capital Area","수도권","9416103","권역 간"
"2019","경북","Yeongnam","영남권","강원","Others","기타","3454565","권역 간"
"2019","경북","Yeongnam","영남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","5435226","권역 간"
"2019","경북","Yeongnam","영남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","5444021","권역 간"
"2019","경북","Yeongnam","영남권","전북","Honam","호남권","2203186","권역 간"
"2019","경북","Yeongnam","영남권","전남","Honam","호남권","3896714","권역 간"
"2019","경북","Yeongnam","영남권","경북","Yeongnam","영남권","63771940","권역 내"
"2019","경북","Yeongnam","영남권","경남","Yeongnam","영남권","7072812","권역 내"
