"year","commodity","city","flow_type","cargo_volume","commodity_category","region_kr","region_en"
"2019","수산물","경기","반입","512794","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","경기","반출","23828","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","경기","합계","536622","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","강원","반입","258871","농축수산물 및 신선식품","기타","Others"
"2019","수산물","강원","반출","51521","농축수산물 및 신선식품","기타","Others"
"2019","수산물","강원","합계","310392","농축수산물 및 신선식품","기타","Others"
"2019","수산물","충북","반입","85703","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충북","반출","4339","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충북","합계","90042","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","반입","150807","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","반출","211722","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","합계","362529","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","전북","반입","106056","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전북","반출","101691","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전북","합계","207747","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","반입","81593","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","반출","1807313","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","합계","1888906","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","경북","반입","214714","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경북","반출","93655","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경북","합계","308369","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","반입","374868","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","반출","534013","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","합계","908881","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","제주","반입","0","농축수산물 및 신선식품","기타","Others"
"2019","수산물","제주","반출","0","농축수산물 및 신선식품","기타","Others"
"2019","수산물","제주","합계","0","농축수산물 및 신선식품","기타","Others"
"2019","축산물","서울","반입","140965","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","서울","반출","1040","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","서울","합계","142005","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","부산","반입","56631","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","부산","반출","3112","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","부산","합계","59743","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","대구","반입","184637","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","대구","반출","5197","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","대구","합계","189834","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","인천","반입","42129","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","인천","반출","48879","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","인천","합계","91008","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","광주","반입","39717","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","광주","반출","11464","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","광주","합계","51181","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","세종","반입","25755","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","세종","반출","85619","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","세종","합계","111374","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","대전","반입","39518","농축수산물 및 신선식품","대전시","Daejeon"
"2019","축산물","대전","반출","9239","농축수산물 및 신선식품","대전시","Daejeon"
"2019","축산물","대전","합계","48757","농축수산물 및 신선식품","대전시","Daejeon"
"2019","축산물","울산","반입","18201","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","울산","반출","18404","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","울산","합계","36605","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경기","반입","386562","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","경기","반출","950943","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","경기","합계","1337505","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","강원","반입","190854","농축수산물 및 신선식품","기타","Others"
"2019","축산물","강원","반출","175418","농축수산물 및 신선식품","기타","Others"
"2019","축산물","강원","합계","366272","농축수산물 및 신선식품","기타","Others"
"2019","축산물","충북","반입","694056","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충북","반출","198115","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충북","합계","892171","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충남","반입","261762","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충남","반출","602898","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충남","합계","864660","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","전북","반입","486901","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전북","반출","258744","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전북","합계","745645","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전남","반입","111119","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전남","반출","307129","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전남","합계","418248","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","경북","반입","438785","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경북","반출","291494","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경북","합계","730279","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경남","반입","158649","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경남","반출","308546","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경남","합계","467195","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","제주","반입","0","농축수산물 및 신선식품","기타","Others"
"2019","축산물","제주","반출","0","농축수산물 및 신선식품","기타","Others"
"2019","축산물","제주","합계","0","농축수산물 및 신선식품","기타","Others"
"2019","석탄광물","서울","반입","141940","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","서울","반출","0","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","서울","합계","141940","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","부산","반입","65516","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","부산","반출","3001","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","부산","합계","68517","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","대구","반입","68953","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","대구","반출","0","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","대구","합계","68953","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","인천","반입","0","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","인천","반출","216619","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","인천","합계","216619","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","광주","반입","32346","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","광주","반출","0","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","광주","합계","32346","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","세종","반입","20252","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","세종","반출","0","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","세종","합계","20252","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","대전","반입","59685","원자재 및 기초소재","대전시","Daejeon"
"2019","석탄광물","대전","반출","0","원자재 및 기초소재","대전시","Daejeon"
"2019","석탄광물","대전","합계","59685","원자재 및 기초소재","대전시","Daejeon"
