"연도","품목","지역","구분","물동량_톤","commodity_cat_en","commodity_cat_kr","region_kr","region_en"
"2019","수산물","울산","반입","36112","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","울산","반출","22579","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","울산","합계","58691","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경기","반입","512794","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","경기","반출","23828","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","경기","합계","536622","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","강원","반입","258871","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","강원","반출","51521","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","강원","합계","310392","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","충북","반입","85703","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충북","반출","4339","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충북","합계","90042","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","반입","150807","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","반출","211722","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","합계","362529","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","전북","반입","106056","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전북","반출","101691","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전북","합계","207747","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","반입","81593","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","반출","1807313","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","합계","1888906","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","경북","반입","214714","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경북","반출","93655","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경북","합계","308369","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","반입","374868","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","반출","534013","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","합계","908881","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","제주","반입","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","제주","반출","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","제주","합계","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","서울","반입","140965","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","서울","반출","1040","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","서울","합계","142005","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","부산","반입","56631","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","부산","반출","3112","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","부산","합계","59743","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","대구","반입","184637","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","대구","반출","5197","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","대구","합계","189834","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","인천","반입","42129","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","인천","반출","48879","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","인천","합계","91008","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","광주","반입","39717","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","광주","반출","11464","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","광주","합계","51181","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","세종","반입","25755","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","세종","반출","85619","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","세종","합계","111374","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","대전","반입","39518","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","축산물","대전","반출","9239","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","축산물","대전","합계","48757","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","축산물","울산","반입","18201","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","울산","반출","18404","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","울산","합계","36605","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경기","반입","386562","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","경기","반출","950943","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","경기","합계","1337505","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","강원","반입","190854","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","강원","반출","175418","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","강원","합계","366272","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","충북","반입","694056","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충북","반출","198115","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충북","합계","892171","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충남","반입","261762","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충남","반출","602898","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","충남","합계","864660","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","축산물","전북","반입","486901","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전북","반출","258744","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전북","합계","745645","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전남","반입","111119","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전남","반출","307129","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","축산물","전남","합계","418248","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
