"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","logistics_type","물동량"
"2020","호남권","Honam","수도권","Capital Area","권역 간","384491"
"2020","호남권","Honam","호남권","Honam","권역 내","7018146"
"2020","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","53169"
"2020","호남권","Honam","대전시","Daejeon","권역 간","216503"
"2020","호남권","Honam","영남권","Yeongnam","권역 간","869361"
"2020","호남권","Honam","수도권","Capital Area","권역 간","1854397"
"2020","호남권","Honam","기타","Others","권역 간","178955"
"2020","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","480773"
"2020","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1101507"
"2020","호남권","Honam","호남권","Honam","권역 내","928817"
