연도,기준지역,대상지역,구분,물동량
2021,대구,전남,출발,865550
2021,대구,경북,출발,8258078
2021,대구,경남,출발,3385826
2021,대구,제주,출발,0
2021,인천,서울,출발,12312791
2021,인천,부산,출발,3492160
2021,인천,대구,출발,665359
2021,인천,인천,출발,96896361
2021,인천,광주,출발,526224
2021,인천,세종,출발,563156
2021,인천,대전,출발,1041055
2021,인천,울산,출발,2648770
2021,인천,경기,출발,65674173
2021,인천,강원,출발,3685178
2021,인천,충북,출발,5027923
2021,인천,충남,출발,9785673
2021,인천,전북,출발,1735270
2021,인천,전남,출발,3837331
2021,인천,경북,출발,4798951
2021,인천,경남,출발,2747329
2021,인천,제주,출발,0
2021,광주,서울,출발,442880
2021,광주,부산,출발,2507353
2021,광주,대구,출발,241338
2021,광주,인천,출발,406875
2021,광주,광주,출발,7264710
2021,광주,세종,출발,57331
2021,광주,대전,출발,226657
2021,광주,울산,출발,961727
2021,광주,경기,출발,1903319
2021,광주,강원,출발,188881
2021,광주,충북,출발,500229
2021,광주,충남,출발,1148128
2021,광주,전북,출발,989557
2021,광주,전남,출발,8213525
2021,광주,경북,출발,1002568
2021,광주,경남,출발,1220583
2021,광주,제주,출발,0
2021,대전,서울,출발,181335
2021,대전,부산,출발,1449224
2021,대전,대구,출발,85756
2021,대전,인천,출발,247595
2021,대전,광주,출발,71934
2021,대전,세종,출발,113024
2021,대전,대전,출발,4041811
2021,대전,울산,출발,219687
2021,대전,경기,출발,871498
2021,대전,강원,출발,113149
2021,대전,충북,출발,712155
2021,대전,충남,출발,876909
2021,대전,전북,출발,193770
2021,대전,전남,출발,272482
2021,대전,경북,출발,560180
2021,대전,경남,출발,287143
2021,대전,제주,출발,0
2021,울산,서울,출발,280573
2021,울산,부산,출발,15144010
2021,울산,대구,출발,640576
2021,울산,인천,출발,374213
2021,울산,광주,출발,195286
2021,울산,세종,출발,76359
2021,울산,대전,출발,172952
2021,울산,울산,출발,93584105
2021,울산,경기,출발,1837550
2021,울산,강원,출발,445745
2021,울산,충북,출발,746232
2021,울산,충남,출발,1167834
2021,울산,전북,출발,440267
2021,울산,전남,출발,1463811
