"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20221101,서울특별시,11,도봉구,11320,울산광역시,31,15,18,7,45,57,15,95,11,236,47,41
20221101,서울특별시,11,도봉구,11320,대전광역시,30,22,40,22,69,82,21,122,18,392,53,38
20221101,서울특별시,11,도봉구,11320,광주광역시,29,24,35,9,62,99,21,128,26,384,57,43
20221101,서울특별시,11,도봉구,11320,인천광역시,28,41,94,29,148,207,50,306,37,775,149,76
20221101,서울특별시,11,도봉구,11320,대구광역시,27,32,58,11,99,121,39,228,15,558,90,58
20221101,서울특별시,11,영등포구,11560,충청남도,44,31,376,57,176,192,22,173,52,191,64,144
20221101,서울특별시,11,영등포구,11560,전라북도,45,28,315,40,98,150,8,138,18,177,60,96
20221101,서울특별시,11,성북구,11290,서울특별시,11,154,1812,244,538,1636,207,1146,319,6567,2347,316
20221101,서울특별시,11,성북구,11290,부산광역시,26,57,595,49,149,566,67,280,126,1877,604,199
20221101,서울특별시,11,강동구,11740,제주특별자치도,50,7,34,5,21,43,3,41,0,60,41,6
20221101,서울특별시,11,강동구,11740,경상남도,48,58,164,84,111,282,51,272,11,306,119,65
20221101,서울특별시,11,강동구,11740,경상북도,47,66,110,47,97,210,28,197,7,236,87,76
20221101,서울특별시,11,강동구,11740,전라남도,46,25,63,45,60,165,16,128,7,187,49,31
20221101,서울특별시,11,강동구,11740,전라북도,45,48,70,28,68,142,13,146,6,188,94,36
20221101,서울특별시,11,강동구,11740,충청남도,44,89,133,56,110,209,15,182,17,224,114,26
20221101,서울특별시,11,강동구,11740,충청북도,43,66,73,33,61,132,24,141,12,212,73,37
20221101,서울특별시,11,강동구,11740,강원도,42,69,68,36,67,156,18,193,6,176,75,35
