기간,지역,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
2022,대전광역시,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,1100,29813,12049,4728,25085
2022,대전광역시,35,단백질계물질변성전분글루(glue)효소,1485,46317,627,5894,40423
2022,대전광역시,36,화약류화공품성냥발화성합금특정가연성조제품,0,0,31,276,-276
2022,대전광역시,37,사진용이나영화용재료,185,2212,175,433,1779
2022,대전광역시,38,각종화학공업생산품,4105,161947,5537,49004,112943
2022,대전광역시,39,플라스틱과그제품,6414,163836,29775,97460,66376
2022,대전광역시,40,고무와그제품,1621,23438,3579,19386,4051
2022,대전광역시,41,원피(모피는제외한다)와가죽,19,420,38,202,219
2022,대전광역시,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,220,378,25218,16561,-16183
2022,대전광역시,43,모피ㆍ인조모피와이들의제품,0,0,15,12,-12
2022,대전광역시,44,목재와그제품목탄,54,164,1473,10369,-10204
2022,대전광역시,45,코르크(cork)와그제품,0,0,18,1,-1
2022,대전광역시,46,짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物),0,0,127,53,-53
2022,대전광역시,47,목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)],1,0,145,12360,-12360
2022,대전광역시,48,종이와판지제지용펄프ㆍ종이ㆍ판지의제품,7280,380101,5974,54941,325160
2022,대전광역시,49,인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면,235,7931,6725,7737,193
2022,대전광역시,50,견,3,6,6,1,5
2022,대전광역시,51,양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물,17,268,54,47,221
2022,대전광역시,52,면,112,2857,405,17768,-14911
2022,대전광역시,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,1,0,24,65,-65
2022,대전광역시,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,2639,38166,298,4705,33461
2022,대전광역시,55,인조스테이플섬유,65,4031,185,2846,1185
2022,대전광역시,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,1105,49763,1294,16486,33277
2022,대전광역시,57,양탄자류와그밖의방직용섬유로만든바닥깔개,9,214,504,687,-473
2022,대전광역시,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,25,93,398,240,-148
