cmtrBlncAmt,expCnt,expUsdAmt,impCnt,impUsdAmt,연도,시도,수출_건당USD,수입_건당USD
8553105,137015,16602861,799406,8049756,2021,광주광역시,121.2,10.1
66873911,508960,104119537,1107844,37245626,2021,충청남도,204.6,33.6
19247420,280480,28765189,839041,9517769,2021,충청북도,102.6,11.3
1139533,108375,4952668,907140,3813135,2021,대전광역시,45.7,4.2
210980,94972,4683660,949571,4472680,2022,대전광역시,49.3,4.7
-626353,671465,16190296,2444489,16816649,2022,부산광역시,24.1,6.9
-146942623,4929160,66906500,12207562,213849123,2022,서울특별시,13.6,17.5
2526144,292980,10641153,1446264,8115009,2022,대구광역시,36.3,5.6
-14026019,1982962,54270298,2345770,68296317,2022,인천광역시,27.4,29.1
-76729,32852,1620008,275049,1696738,2022,세종특별자치시,49.3,6.2
56645849,464567,107495292,1216681,50849443,2022,충청남도,231.4,41.8
8231665,128057,17946054,842335,9714389,2022,광주광역시,140.1,11.5
37913461,297175,90093463,688442,52180003,2022,울산광역시,303.2,75.8
22246837,283147,32411077,917320,10164240,2022,충청북도,114.5,11.1
19766094,249104,27853593,1018381,8087499,2023,충청북도,111.8,7.9
42314284,275399,87364507,779764,45050223,2023,울산광역시,317.2,57.8
2660880,266206,11016301,1624763,8355421,2023,대구광역시,41.4,5.1
38572275,445380,79393127,1419836,40820852,2023,충청남도,178.3,28.8
-267209,29370,1246718,304870,1513927,2023,세종특별자치시,42.4,5.0
-6605692,1258273,53801137,2566630,60406829,2023,인천광역시,42.8,23.5
10592019,113405,17715957,966711,7123938,2023,광주광역시,156.2,7.4
-132758313,4144471,66342181,12691213,199100494,2023,서울특별시,16.0,15.7
-277444,90949,4278337,1044330,4555781,2023,대전광역시,47.0,4.4
150838,602256,15111411,2586153,14960573,2023,부산광역시,25.1,5.8
-121042871,4932436,68384045,14131921,189426916,2024,서울특별시,13.9,13.4
-664953,660048,14595682,3030642,15260634,2024,부산광역시,22.1,5.0
257550,84611,4592485,1237700,4334935,2024,대전광역시,54.3,3.5
3103469,226652,8878299,1959991,5774830,2024,대구광역시,39.2,2.9
51467981,422745,92605587,1815804,41137606,2024,충청남도,219.1,22.7
-149414,30645,1549676,344167,1699090,2024,세종특별자치시,50.6,4.9
-4243792,1377032,59524197,3088065,63767988,2024,인천광역시,43.2,20.6
40984339,283910,88131192,942159,47146853,2024,울산광역시,310.4,50.0
8147334,123329,15552135,1147921,7404801,2024,광주광역시,126.1,6.5
19442270,233696,26679438,1263675,7237168,2024,충청북도,114.2,5.7
25993353,240565,33819097,1342972,7825744,2025,충청북도,140.6,5.8
8783784,121894,17517299,1215983,8733515,2025,광주광역시,143.7,7.2
805660,1524769,60151675,3283376,59346014,2025,인천광역시,39.4,18.1
38707382,280580,86834045,985201,48126662,2025,울산광역시,309.5,48.8
-658304,592762,14227941,3171094,14886245,2025,부산광역시,24.0,4.7
851785,85389,5004627,1298568,4152842,2025,대전광역시,58.6,3.2
-126795444,5839026,68724178,14589123,195519621,2025,서울특별시,11.8,13.4
-268177,33312,1393260,369598,1661437,2025,세종특별자치시,41.8,4.5
2893697,205196,9032883,2051891,6139186,2025,대구광역시,44.0,3.0
59403535,426282,97080271,1892329,37676736,2025,충청남도,227.7,19.9
-97707,903995,36552042,2143521,36649750,2026,인천광역시,40.4,17.1
23682983,165064,57660105,628719,33977122,2026,울산광역시,349.3,54.0
-81369335,3360313,45522896,9082201,126892231,2026,서울특별시,13.5,14.0
-139053,20654,1025597,233483,1164650,2026,세종특별자치시,49.7,5.0
20397151,144445,25789175,863430,5392025,2026,충청북도,178.5,6.2
4334481,59399,9274627,652621,4940146,2026,광주광역시,156.1,7.6
233923,49047,2949016,823267,2715094,2026,대전광역시,60.1,3.3
265140,347182,9080410,1998411,8815270,2026,부산광역시,26.2,4.4
91566160,243076,116317829,1211895,24751668,2026,충청남도,478.5,20.4
1481941,116570,5826349,1308657,4344408,2026,대구광역시,50.0,3.3
