연도,출발지,도착지,품목,물동량_톤
2022,서울특별시,경상남도,"의료,정밀,광학기기,시계",7099
2022,서울특별시,경상남도,"자동차,트레일러",82
2022,서울특별시,경상남도,기타운송장비,545
2022,서울특별시,경상남도,가구제품,381
2022,서울특별시,경상남도,기타제품,928
2022,서울특별시,경상남도,*) 재생제품,7152394
2022,서울특별시,경상남도,*) 기타,0
2022,서울특별시,제주특별자치도,합계,0
2022,서울특별시,제주특별자치도,농산물,0
2022,서울특별시,제주특별자치도,임산물,0
2022,서울특별시,제주특별자치도,수산물,0
2022,서울특별시,제주특별자치도,축산물,0
2022,서울특별시,제주특별자치도,석탄광물,0
2022,서울특별시,제주특별자치도,석회석광물,0
2022,서울특별시,제주특별자치도,비금속광물,0
2022,서울특별시,제주특별자치도,음식료품,0
2022,서울특별시,제주특별자치도,담배제품,0
2022,서울특별시,제주특별자치도,섬유제품,0
2022,서울특별시,제주특별자치도,의복,0
2022,서울특별시,제주특별자치도,가죽,0
2022,서울특별시,제주특별자치도,"목재,나무제품",0
2022,서울특별시,제주특별자치도,"펄프,종이",0
2022,서울특별시,제주특별자치도,"인쇄,기록매체",0
2022,서울특별시,제주특별자치도,"코크스,연탄,석유정제품",0
2022,서울특별시,제주특별자치도,"화합물,화학제품",0
2022,서울특별시,제주특별자치도,"고무,플라스틱제품",0
2022,서울특별시,제주특별자치도,비금속광물제품,0
2022,서울특별시,제주특별자치도,제1차금속제품,0
2022,서울특별시,제주특별자치도,금속가공제품,0
2022,서울특별시,제주특별자치도,"기타기계,장비제조품",0
2022,서울특별시,제주특별자치도,"전자부품,컴퓨터,영상,음향,통신장비",0
2022,서울특별시,제주특별자치도,전기장비제품,0
2022,서울특별시,제주특별자치도,"의료,정밀,광학기기,시계",0
2022,서울특별시,제주특별자치도,"자동차,트레일러",0
2022,서울특별시,제주특별자치도,기타운송장비,0
2022,서울특별시,제주특별자치도,가구제품,0
2022,서울특별시,제주특별자치도,기타제품,0
2022,서울특별시,제주특별자치도,*) 재생제품,0
2022,서울특별시,제주특별자치도,*) 기타,0
2022,서울특별시,세종특별자치시,합계,561643
2022,서울특별시,세종특별자치시,농산물,22
2022,서울특별시,세종특별자치시,임산물,37
2022,서울특별시,세종특별자치시,수산물,0
2022,서울특별시,세종특별자치시,축산물,0
2022,서울특별시,세종특별자치시,석탄광물,0
2022,서울특별시,세종특별자치시,석회석광물,0
2022,서울특별시,세종특별자치시,비금속광물,5887
2022,서울특별시,세종특별자치시,음식료품,2373
2022,서울특별시,세종특별자치시,담배제품,0
2022,서울특별시,세종특별자치시,섬유제품,179
2022,서울특별시,세종특별자치시,의복,2283
2022,서울특별시,세종특별자치시,가죽,76
2022,서울특별시,세종특별자치시,"목재,나무제품",6
2022,서울특별시,세종특별자치시,"펄프,종이",306
2022,서울특별시,세종특별자치시,"인쇄,기록매체",1997
2022,서울특별시,세종특별자치시,"코크스,연탄,석유정제품",205
2022,서울특별시,세종특별자치시,"화합물,화학제품",584
2022,서울특별시,세종특별자치시,"고무,플라스틱제품",1114
2022,서울특별시,세종특별자치시,비금속광물제품,1243
2022,서울특별시,세종특별자치시,제1차금속제품,30
2022,서울특별시,세종특별자치시,금속가공제품,1088
2022,서울특별시,세종특별자치시,"기타기계,장비제조품",216
2022,서울특별시,세종특별자치시,"전자부품,컴퓨터,영상,음향,통신장비",281
2022,서울특별시,세종특별자치시,전기장비제품,105
2022,서울특별시,세종특별자치시,"의료,정밀,광학기기,시계",1891
2022,서울특별시,세종특별자치시,"자동차,트레일러",6
2022,서울특별시,세종특별자치시,기타운송장비,0
2022,서울특별시,세종특별자치시,가구제품,27
