시도별,산업별,산업코드,연도,지표,단위,값,비고
전국,광업 및 제조업,,2021,주요생산비,백만원,1141006704.0,
전국,광업,05~08,2021,주요생산비,백만원,983705.0,
전국,제조업,10~34,2021,주요생산비,백만원,1140022999.0,
서울특별시,광업 및 제조업,,2021,주요생산비,백만원,17619665.0,
서울특별시,광업,05~08,2021,주요생산비,백만원,,X
서울특별시,제조업,10~34,2021,주요생산비,백만원,17619049.0,
부산광역시,광업 및 제조업,,2021,주요생산비,백만원,31258984.0,
부산광역시,광업,05~08,2021,주요생산비,백만원,,X
부산광역시,제조업,10~34,2021,주요생산비,백만원,31257448.0,
대구광역시,광업 및 제조업,,2021,주요생산비,백만원,21517198.0,
대구광역시,광업,05~08,2021,주요생산비,백만원,,X
대구광역시,제조업,10~34,2021,주요생산비,백만원,21516781.0,
인천광역시,광업 및 제조업,,2021,주요생산비,백만원,52949815.0,
인천광역시,광업,05~08,2021,주요생산비,백만원,62376.0,
인천광역시,제조업,10~34,2021,주요생산비,백만원,52887439.0,
광주광역시,광업 및 제조업,,2021,주요생산비,백만원,26078802.0,
광주광역시,광업,05~08,2021,주요생산비,백만원,,X
광주광역시,제조업,10~34,2021,주요생산비,백만원,26078754.0,
대전광역시,광업 및 제조업,,2021,주요생산비,백만원,10814223.0,
대전광역시,광업,05~08,2021,주요생산비,백만원,0.0,-
대전광역시,제조업,10~34,2021,주요생산비,백만원,10814223.0,
울산광역시,광업 및 제조업,,2021,주요생산비,백만원,165868405.0,
울산광역시,광업,05~08,2021,주요생산비,백만원,57967.0,
울산광역시,제조업,10~34,2021,주요생산비,백만원,165810438.0,
세종특별자치시,광업 및 제조업,,2021,주요생산비,백만원,5657445.0,
세종특별자치시,광업,05~08,2021,주요생산비,백만원,16695.0,
세종특별자치시,제조업,10~34,2021,주요생산비,백만원,5640750.0,
경기도,광업 및 제조업,,2021,주요생산비,백만원,259751621.0,
경기도,광업,05~08,2021,주요생산비,백만원,238545.0,
경기도,제조업,10~34,2021,주요생산비,백만원,259513076.0,
강원특별자치도,광업 및 제조업,,2021,주요생산비,백만원,9116278.0,
강원특별자치도,광업,05~08,2021,주요생산비,백만원,231070.0,
강원특별자치도,제조업,10~34,2021,주요생산비,백만원,8885208.0,
충청북도,광업 및 제조업,,2021,주요생산비,백만원,68773793.0,
충청북도,광업,05~08,2021,주요생산비,백만원,80663.0,
충청북도,제조업,10~34,2021,주요생산비,백만원,68693130.0,
충청남도,광업 및 제조업,,2021,주요생산비,백만원,151986662.0,
충청남도,광업,05~08,2021,주요생산비,백만원,68579.0,
충청남도,제조업,10~34,2021,주요생산비,백만원,151918083.0,
전라북도,광업 및 제조업,,2021,주요생산비,백만원,31901370.0,
전라북도,광업,05~08,2021,주요생산비,백만원,40906.0,
전라북도,제조업,10~34,2021,주요생산비,백만원,31860464.0,
전라남도,광업 및 제조업,,2021,주요생산비,백만원,91720022.0,
전라남도,광업,05~08,2021,주요생산비,백만원,68551.0,
전라남도,제조업,10~34,2021,주요생산비,백만원,91651471.0,
