지역명,연도,수출_금액증감률,수출_중량증감률,수출액_백만불,수출중량_천톤,수출단가_USD_kg,수입_금액증감률,수입_중량증감률,수입액_백만불,수입중량_천톤,수입단가_USD_kg,수지_금액,수지_중량,중량비_수입대수출
부산,2005,5.1,-5.4,6762.626,2802.440045,2.413120670347829,10.5,-11.3,7446.32,8337.682744,0.8930922689950699,-683694,-5535242699,2.975151157604872
부산,2006,19.6,113.2,8090.221,5973.444168,1.3543645462260558,16.1,3.1,8645.941,8593.161947,1.0061419828144198,-555720,-2619717779,1.438560687154982
부산,2007,25.6,-43.5,10159.704,3375.345104,3.009974887593005,30.4,17.3,11276.978,10076.651258,1.1191196074238496,-1117274,-6701306154,2.9853691837491
부산,2008,26.6,16.1,12859.729,3917.827574,3.2823621655382222,33.3,4.5,15037.424,10533.872631,1.4275304559641775,-2177695,-6616045057,2.6887024587060093
부산,2009,-26.1,-19.2,9497.386,3164.496284,3.0012315223815254,-29.2,-30.3,10649.96,7337.887142,1.4513660123010925,-1152574,-4173390858,2.3188167984589105
부산,2010,30.3,30.7,12374.168,4135.266978,2.9923504493982396,17.1,10.9,12469.165,8136.727251,1.5324545871274653,-94997,-4001460273,1.9676425474553725
부산,2011,17.7,1.0,14561.601,4176.726509,3.486366887710435,17.9,1.6,14702.159,8265.808239,1.7786716767311157,-140558,-4089081730,1.979015916217846
부산,2012,-6.9,-1.9,13556.716,4098.792524,3.307490174391662,-6.3,2.4,13774.151,8460.795139,1.6279972241034544,-217435,-4362002615,2.0642164953358346
부산,2013,-2.2,-7.3,13263.12,3800.780736,3.4895777792113076,-2.2,-4.0,13470.865,8120.807483,1.6588085640744157,-207745,-4320026747,2.136615618491706
부산,2014,10.8,2.2,14702.01,3884.680025,3.7846128652513666,10.6,7.9,14894.016,8764.119451,1.6994309677397845,-192006,-4879439426,2.256072416414786
부산,2015,6.0,1.8,15578.684,3955.690945,3.938296549605697,-3.5,-1.9,14377.273,8595.619902,1.6726278225325837,1201411,-4639928957,2.172975599336161
부산,2016,-9.7,-5.5,14074.238,3739.90417,3.763261666675272,-5.7,3.4,13559.969,8884.943006,1.5261739991852459,514269,-5145038836,2.375714083069674
부산,2017,7.0,12.6,15064.107,4211.691782,3.5767353784959375,6.7,2.0,14463.316,9063.34006,1.5958041852398508,600791,-4851648278,2.1519476089715437
부산,2018,-4.4,-5.4,14407.073,3984.485851,3.6157922348712086,2.3,-11.3,14799.07,8038.469118,1.8410308956541792,-391997,-4053983267,2.017442003460135
부산,2019,-3.4,2.8,13924.316,4095.691052,3.399747642879583,-6.8,6.3,13798.321,8544.475286,1.6148821944172922,125995,-4448784234,2.086210892744847
부산,2020,-18.7,-14.2,11319.928,3512.785636,3.2224932497987475,-10.4,-10.0,12368.462,7688.870776,1.608618789459546,-1048534,-4176085140,2.1888243612711014
부산,2021,30.9,6.1,14816.262,3726.920617,3.9754702400735358,24.4,11.4,15383.476,8568.85792,1.7952772870809837,-567214,-4841937303,2.2991790812269937
부산,2022,9.3,-3.4,16190.296,3598.951575,4.498614572217466,9.3,-2.2,16816.657,8382.700276,2.006114550957613,-626361,-4783748701,2.329206187221344
부산,2023,-6.7,-5.6,15111.411,3396.802713,4.448716124185456,-11.0,1.9,14960.581,8541.296687,1.751558521877628,150830,-5144493974,2.5145106762636997
부산,2024,-3.4,-4.5,14595.682,3242.876581,4.500844122627434,2.0,-8.3,15260.691,7833.228056,1.94819950228703,-665009,-4590351475,2.415518401747032
부산,2025,-2.5,3.0,14227.941,3339.468131,4.260541032843891,-2.5,-7.2,14886.285,7266.75557,2.0485462675332564,-658344,-3927287439,2.1760218348973965
부산,2026,10.9,8.8,9080.41,2107.716789,4.3081736822470225,1.3,-2.9,8815.27,4111.732015,2.1439310655074393,265140,-2004015226,1.9507990999828773
서울,2000,0.0,0.0,31913.418,15569.995263,2.0496742266735266,0.0,0.0,44163.533,81740.368881,0.5402903559720235,-12250115,-66170373618,5.249864723802775
서울,2001,-8.6,-0.8,29154.567,15442.575984,1.887934178223047,-25.5,-51.0,32888.216,40012.597635,0.8219465354389256,-3733649,-24570021651,2.5910571964455227
서울,2002,-11.3,-50.9,25862.921,7589.378223,3.407778640102702,12.1,-27.0,36880.207,29196.894447,1.2631551299727175,-11017286,-21607516224,3.847073316034944
서울,2003,7.4,-24.1,27769.875,5756.683886,4.823936062832129,13.8,-3.3,41967.121,28230.253712,1.4866009150375006,-14197246,-22473569826,4.90390896409211
서울,2004,7.8,-1.7,29923.964,5661.252662,5.285749601118933,15.3,-3.5,48382.495,27251.933159,1.7753784554554286,-18458531,-21590680497,4.813763805654361
서울,2005,-18.2,-13.0,24484.859,4926.900018,4.969627739663216,5.4,5.0,51016.38,28612.918299,1.7829841565578086,-26531521,-23686018281,5.807489129973248
서울,2006,1.0,13.1,24717.564,5574.165569,4.4343074661189705,15.2,5.3,58774.916,30117.447138,1.951523837020107,-34057352,-24543281569,5.403041363804169
서울,2007,9.1,19.2,26978.722,6645.122826,4.059928267155855,17.8,12.8,69252.109,33968.211788,2.0387328432892304,-42273387,-27323088962,5.111750779849317
서울,2008,23.4,2.9,33296.374,6838.487837,4.8689673497477335,26.1,14.9,87320.745,39030.086826,2.2372675056882283,-54024371,-32191598989,5.707414819812306
서울,2009,-0.7,10.5,33067.259,7554.368059,4.37723694976774,-14.7,4.6,74477.261,40839.263533,1.8236680722662628,-41410002,-33284895474,5.406046305136746
