"year","hs_section","section_name","hs_chapter","product_name","export_cnt","export_usd","export_ratio","import_cnt","import_usd","import_ratio","balance"
"2021","11","섬유 및 섬유 제품","54","인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것","2727","33087","0.67","208","4003","0.10","29083"
"2021","11","섬유 및 섬유 제품","55","인조스테이플섬유","106","5079","0.10","120","3221","0.08","1858"
"2021","11","섬유 및 섬유 제품","56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품","1244","44531","0.90","1892","27130","0.71","17401"
"2021","11","섬유 및 섬유 제품","57","양탄자류와그밖의방직용섬유로만든바닥깔개","9","147","0.00","347","847","0.02","-699"
"2021","11","섬유 및 섬유 제품","58","특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천","16","76","0.00","268","135","0.00","-60"
"2021","11","섬유 및 섬유 제품","59","침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품","83","784","0.02","323","2544","0.07","-1760"
"2021","11","섬유 및 섬유 제품","60","메리야스편물과뜨개질편물","18","83","0.00","24","12","0.00","70"
"2021","11","섬유 및 섬유 제품","61","의류와그부속품(메리야스편물이나뜨개질편물로한정한다)","216","994","0.02","16292","12335","0.32","-11341"
"2021","11","섬유 및 섬유 제품","62","의류와그부속품(메리야스편물이나뜨개질편물은제외한다)","368","931","0.02","33061","18816","0.49","-17885"
"2021","11","섬유 및 섬유 제품","63","제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마","5714","9444","0.19","8787","8097","0.21","1347"
"2021","12","신발, 모자, 우산 등","64","신발류ㆍ각반과이와유사한것이들의부분품","95","4341","0.09","15008","17297","0.45","-12956"
"2021","12","신발, 모자, 우산 등","65","모자류와그부분품","33","134","0.00","3095","908","0.02","-774"
"2021","12","신발, 모자, 우산 등","66","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품","3","8","0.00","559","514","0.01","-506"
"2021","12","신발, 모자, 우산 등","67","조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품","4","0","0.00","866","936","0.02","-936"
"2021","13","석재, 유리 및 도자기","68","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품","283","8672","0.18","1734","16233","0.43","-7561"
"2021","13","석재, 유리 및 도자기","69","도자제품","20","25","0.00","3902","9063","0.24","-9039"
"2021","13","석재, 유리 및 도자기","70","유리와유리제품","139","763","0.02","2908","7054","0.18","-6291"
"2021","14","귀금속 및 보석류","71","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화","104","12405","0.25","4369","12408","0.33","-3"
"2021","15","비금속 및 그 제품","72","철강","178","18565","0.37","758","48419","1.27","-29854"
"2021","15","비금속 및 그 제품","73","철강의제품","3761","45636","0.92","16226","69438","1.82","-23802"
"2021","15","비금속 및 그 제품","74","구리와그제품","655","11361","0.23","1855","17647","0.46","-6286"
"2021","15","비금속 및 그 제품","75","니켈과그제품","9","488","0.01","123","6263","0.16","-5775"
