"지역","기간","부코드","부명약칭","부명_공식","류코드","류명약칭","류명_공식","수출건수","수출금액","수출비중","수입건수","수입금액","수입비중","무역수지","원자료없음"
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","59","침투_도포직물","침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품",4,19,0,77,4170,0.23,-4152,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","60","편물","메리야스편물과뜨개질편물",6,167,0.01,10,339,0.02,-171,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","61","편물제_의류","의류와그부속품(메리야스편물이나뜨개질편물로한정한다)",61,1491,0.05,47,476,0.03,1015,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","62","비편물제의류","의류와그부속품(메리야스편물이나뜨개질편물은제외한다)",57,2104,0.07,142,758,0.04,1346,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","63","기타_방직용섬유제품","제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마",181,1700,0.05,55,82,0,1618,0
"광주광역시","2000","12","신발, 모자, 우산 등","신발류ㆍ모자류ㆍ산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품, 조제 깃털과 그 제품, 조화, 사람 머리카락으로 된 제품","64","신발류","신발류ㆍ각반과이와유사한것이들의부분품",12,23,0,29,17,0,6,0
"광주광역시","2000","12","신발, 모자, 우산 등","신발류ㆍ모자류ㆍ산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품, 조제 깃털과 그 제품, 조화, 사람 머리카락으로 된 제품","65","모자류","모자류와그부분품",1,2,0,8,7,0,-5,0
"광주광역시","2000","12","신발, 모자, 우산 등","신발류ㆍ모자류ㆍ산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품, 조제 깃털과 그 제품, 조화, 사람 머리카락으로 된 제품","66","산류_지팡이","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품",0,0,0,11,66,0,-66,0
"광주광역시","2000","12","신발, 모자, 우산 등","신발류ㆍ모자류ㆍ산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품, 조제 깃털과 그 제품, 조화, 사람 머리카락으로 된 제품","67","조제_우모_조화_인모제품","조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품",0,0,0,2,1,0,-1,0
"광주광역시","2000","13","석재, 유리 및 도자기","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품, 도자제품, 유리와 유리제품","68","석_시멘트제품","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품",33,235,0.01,493,3591,0.19,-3357,0
"광주광역시","2000","13","석재, 유리 및 도자기","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품, 도자제품, 유리와 유리제품","69","도자_제품","도자제품",25,626,0.02,154,1906,0.1,-1280,0
"광주광역시","2000","13","석재, 유리 및 도자기","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품, 도자제품, 유리와 유리제품","70","유리와유리제품","유리와유리제품",36,141,0,84,1268,0.07,-1127,0
"광주광역시","2000","14","귀금속 및 보석류","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화","71","진주_귀석귀금속","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화",9,98,0,153,5865,0.32,-5767,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","72","철강","철강",273,7575,0.24,163,3039,0.16,4536,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","73","철강제품","철강의제품",373,9615,0.3,921,4273,0.23,5342,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","74","동","구리와그제품",22,132,0,241,5139,0.28,-5006,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","75","니켈","니켈과그제품",0,0,0,3,17,0,-17,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","76","알루미늄","알루미늄과그제품",233,7411,0.23,268,4858,0.26,2553,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","78","연","납과그제품",0,0,0,67,4487,0.24,-4487,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","79","아연","아연과그제품",13,389,0.01,34,2835,0.15,-2446,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","80","주석","주석과그제품",0,0,0,35,2477,0.13,-2477,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","81","기타_비금속","그밖의비금속(卑金屬)서멧(cermet)이들의제품",9,24,0,41,175,0.01,-151,0
