행정구역별,산업별,산업코드,연도,지표,단위,값,지수
충 북,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,690,100.0
충 북,건설업,41~42,2021,사업체수,개,20614,100.0
충 북,도매 및 소매업,45~47,2021,사업체수,개,43719,100.0
충 북,운수 및 창고업,49~52,2021,사업체수,개,19281,100.0
충 북,숙박 및 음식점업,55~56,2021,사업체수,개,31446,100.0
충 북,정보통신업,58~63,2021,사업체수,개,1402,100.0
충 북,금융 및 보험업,64~66,2021,사업체수,개,1532,100.0
충 북,부동산업,68,2021,사업체수,개,6497,100.0
충 북,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,4432,100.0
충 북,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,4681,100.0
충 북,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,573,100.0
충 북,교육 서비스업,85,2021,사업체수,개,6947,100.0
충 북,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,5221,100.0
충 북,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,4848,100.0
충 북,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,16766,100.0
충 남,전체 산업,0,2021,사업체수,개,261263,100.0
충 남,"농업, 임업 및 어업",01~03,2021,사업체수,개,1584,100.0
충 남,광업,05~08,2021,사업체수,개,131,100.0
충 남,제조업,10~34,2021,사업체수,개,24704,100.0
충 남,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,12588,100.0
충 남,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,853,100.0
충 남,건설업,41~42,2021,사업체수,개,25744,100.0
충 남,도매 및 소매업,45~47,2021,사업체수,개,60491,100.0
충 남,운수 및 창고업,49~52,2021,사업체수,개,23236,100.0
충 남,숙박 및 음식점업,55~56,2021,사업체수,개,41468,100.0
충 남,정보통신업,58~63,2021,사업체수,개,1970,100.0
충 남,금융 및 보험업,64~66,2021,사업체수,개,2012,100.0
충 남,부동산업,68,2021,사업체수,개,9311,100.0
충 남,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,5694,100.0
충 남,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,5860,100.0
충 남,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,774,100.0
충 남,교육 서비스업,85,2021,사업체수,개,9197,100.0
충 남,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,6984,100.0
충 남,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,6006,100.0
충 남,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,22656,100.0
전 북,전체 산업,0,2021,사업체수,개,231380,100.0
전 북,"농업, 임업 및 어업",01~03,2021,사업체수,개,1509,100.0
전 북,광업,05~08,2021,사업체수,개,116,100.0
전 북,제조업,10~34,2021,사업체수,개,16384,100.0
전 북,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,21774,100.0
전 북,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,613,100.0
전 북,건설업,41~42,2021,사업체수,개,22623,100.0
전 북,도매 및 소매업,45~47,2021,사업체수,개,53139,100.0
전 북,운수 및 창고업,49~52,2021,사업체수,개,20718,100.0
전 북,숙박 및 음식점업,55~56,2021,사업체수,개,31328,100.0
전 북,정보통신업,58~63,2021,사업체수,개,1629,100.0
전 북,금융 및 보험업,64~66,2021,사업체수,개,2099,100.0
전 북,부동산업,68,2021,사업체수,개,7110,100.0
전 북,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,5227,100.0
전 북,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,4327,100.0
전 북,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,926,100.0
전 북,교육 서비스업,85,2021,사업체수,개,9061,100.0
전 북,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,6783,100.0
전 북,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,4857,100.0
전 북,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,21157,100.0
전 남,전체 산업,0,2021,사업체수,개,234688,100.0
전 남,"농업, 임업 및 어업",01~03,2021,사업체수,개,2281,100.0
전 남,광업,05~08,2021,사업체수,개,962,100.0
전 남,제조업,10~34,2021,사업체수,개,17417,100.0
전 남,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,12835,100.0
전 남,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,800,100.0
전 남,건설업,41~42,2021,사업체수,개,24868,100.0
전 남,도매 및 소매업,45~47,2021,사업체수,개,54801,100.0
전 남,운수 및 창고업,49~52,2021,사업체수,개,24332,100.0
전 남,숙박 및 음식점업,55~56,2021,사업체수,개,37061,100.0
전 남,정보통신업,58~63,2021,사업체수,개,1586,100.0
전 남,금융 및 보험업,64~66,2021,사업체수,개,1964,100.0
전 남,부동산업,68,2021,사업체수,개,5249,100.0
전 남,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,4442,100.0
전 남,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,4401,100.0
전 남,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,1291,100.0
전 남,교육 서비스업,85,2021,사업체수,개,7627,100.0
전 남,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,6358,100.0
전 남,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,4931,100.0
전 남,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,21482,100.0
경 북,전체 산업,0,2021,사업체수,개,328657,100.0
경 북,"농업, 임업 및 어업",01~03,2021,사업체수,개,1236,100.0
경 북,광업,05~08,2021,사업체수,개,196,100.0
경 북,제조업,10~34,2021,사업체수,개,37897,100.0
경 북,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,11551,100.0
경 북,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,1246,100.0
경 북,건설업,41~42,2021,사업체수,개,32419,100.0
경 북,도매 및 소매업,45~47,2021,사업체수,개,73428,100.0
경 북,운수 및 창고업,49~52,2021,사업체수,개,32491,100.0
경 북,숙박 및 음식점업,55~56,2021,사업체수,개,55386,100.0
경 북,정보통신업,58~63,2021,사업체수,개,2109,100.0
경 북,금융 및 보험업,64~66,2021,사업체수,개,2702,100.0
경 북,부동산업,68,2021,사업체수,개,8638,100.0
경 북,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,6149,100.0
경 북,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,6072,100.0
경 북,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,1309,100.0
경 북,교육 서비스업,85,2021,사업체수,개,11823,100.0
경 북,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,8366,100.0
경 북,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,6826,100.0
경 북,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,28813,100.0
경 남,전체 산업,0,2021,사업체수,개,392614,100.0
경 남,"농업, 임업 및 어업",01~03,2021,사업체수,개,1057,100.0
경 남,광업,05~08,2021,사업체수,개,111,100.0
경 남,제조업,10~34,2021,사업체수,개,49462,100.0
경 남,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,5927,100.0
경 남,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,1260,100.0
경 남,건설업,41~42,2021,사업체수,개,32433,100.0
경 남,도매 및 소매업,45~47,2021,사업체수,개,90075,100.0
경 남,운수 및 창고업,49~52,2021,사업체수,개,35988,100.0
경 남,숙박 및 음식점업,55~56,2021,사업체수,개,68765,100.0
경 남,정보통신업,58~63,2021,사업체수,개,2494,100.0
경 남,금융 및 보험업,64~66,2021,사업체수,개,3310,100.0
경 남,부동산업,68,2021,사업체수,개,13675,100.0
