연도,품목,지역,구분,물동량_톤
2022,"의복, 의복 액세서리 및 모피제품",대구,반출,25903
2022,"의복, 의복 액세서리 및 모피제품",대구,합계,105615
2022,"의복, 의복 액세서리 및 모피제품",인천,반입,59473
2022,"의복, 의복 액세서리 및 모피제품",인천,반출,7061
2022,"의복, 의복 액세서리 및 모피제품",인천,합계,66534
2022,"의복, 의복 액세서리 및 모피제품",광주,반입,24792
2022,"의복, 의복 액세서리 및 모피제품",광주,반출,8324
2022,"의복, 의복 액세서리 및 모피제품",광주,합계,33116
2022,"의복, 의복 액세서리 및 모피제품",세종,반입,3545
2022,"의복, 의복 액세서리 및 모피제품",세종,반출,0
2022,"의복, 의복 액세서리 및 모피제품",세종,합계,3545
2022,"의복, 의복 액세서리 및 모피제품",대전,반입,24602
2022,"의복, 의복 액세서리 및 모피제품",대전,반출,10461
2022,"의복, 의복 액세서리 및 모피제품",대전,합계,35063
2022,"의복, 의복 액세서리 및 모피제품",울산,반입,36548
2022,"의복, 의복 액세서리 및 모피제품",울산,반출,1780
2022,"의복, 의복 액세서리 및 모피제품",울산,합계,38328
2022,"의복, 의복 액세서리 및 모피제품",경기,반입,341230
2022,"의복, 의복 액세서리 및 모피제품",경기,반출,95003
2022,"의복, 의복 액세서리 및 모피제품",경기,합계,436233
2022,"의복, 의복 액세서리 및 모피제품",강원,반입,19515
2022,"의복, 의복 액세서리 및 모피제품",강원,반출,17397
2022,"의복, 의복 액세서리 및 모피제품",강원,합계,36912
2022,"의복, 의복 액세서리 및 모피제품",충북,반입,38873
2022,"의복, 의복 액세서리 및 모피제품",충북,반출,6233
2022,"의복, 의복 액세서리 및 모피제품",충북,합계,45106
2022,"의복, 의복 액세서리 및 모피제품",충남,반입,52313
2022,"의복, 의복 액세서리 및 모피제품",충남,반출,26658
2022,"의복, 의복 액세서리 및 모피제품",충남,합계,78971
2022,"의복, 의복 액세서리 및 모피제품",전북,반입,31860
2022,"의복, 의복 액세서리 및 모피제품",전북,반출,49507
2022,"의복, 의복 액세서리 및 모피제품",전북,합계,81367
2022,"의복, 의복 액세서리 및 모피제품",전남,반입,31996
2022,"의복, 의복 액세서리 및 모피제품",전남,반출,7998
2022,"의복, 의복 액세서리 및 모피제품",전남,합계,39994
2022,"의복, 의복 액세서리 및 모피제품",경북,반입,114431
2022,"의복, 의복 액세서리 및 모피제품",경북,반출,11461
2022,"의복, 의복 액세서리 및 모피제품",경북,합계,125892
2022,"의복, 의복 액세서리 및 모피제품",경남,반입,75767
2022,"의복, 의복 액세서리 및 모피제품",경남,반출,27287
2022,"의복, 의복 액세서리 및 모피제품",경남,합계,103054
2022,"의복, 의복 액세서리 및 모피제품",제주,반입,0
2022,"의복, 의복 액세서리 및 모피제품",제주,반출,0
2022,"의복, 의복 액세서리 및 모피제품",제주,합계,0
2022,"가죽, 가방 및 신발제품",서울,반입,63496
2022,"가죽, 가방 및 신발제품",서울,반출,73206
2022,"가죽, 가방 및 신발제품",서울,합계,136702
2022,"가죽, 가방 및 신발제품",부산,반입,41240
2022,"가죽, 가방 및 신발제품",부산,반출,17704
2022,"가죽, 가방 및 신발제품",부산,합계,58944
2022,"가죽, 가방 및 신발제품",대구,반입,5225
2022,"가죽, 가방 및 신발제품",대구,반출,4691
2022,"가죽, 가방 및 신발제품",대구,합계,9916
2022,"가죽, 가방 및 신발제품",인천,반입,13962
2022,"가죽, 가방 및 신발제품",인천,반출,6797
2022,"가죽, 가방 및 신발제품",인천,합계,20759
2022,"가죽, 가방 및 신발제품",광주,반입,2721
2022,"가죽, 가방 및 신발제품",광주,반출,15180
2022,"가죽, 가방 및 신발제품",광주,합계,17901
2022,"가죽, 가방 및 신발제품",세종,반입,303
2022,"가죽, 가방 및 신발제품",세종,반출,5952
2022,"가죽, 가방 및 신발제품",세종,합계,6255
2022,"가죽, 가방 및 신발제품",대전,반입,2834
2022,"가죽, 가방 및 신발제품",대전,반출,4699
2022,"가죽, 가방 및 신발제품",대전,합계,7533
2022,"가죽, 가방 및 신발제품",울산,반입,4178
2022,"가죽, 가방 및 신발제품",울산,반출,7284
2022,"가죽, 가방 및 신발제품",울산,합계,11462
2022,"가죽, 가방 및 신발제품",경기,반입,75658
2022,"가죽, 가방 및 신발제품",경기,반출,67030
2022,"가죽, 가방 및 신발제품",경기,합계,142688
2022,"가죽, 가방 및 신발제품",강원,반입,2542
2022,"가죽, 가방 및 신발제품",강원,반출,362
2022,"가죽, 가방 및 신발제품",강원,합계,2904
2022,"가죽, 가방 및 신발제품",충북,반입,6329
2022,"가죽, 가방 및 신발제품",충북,반출,21442
2022,"가죽, 가방 및 신발제품",충북,합계,27771
2022,"가죽, 가방 및 신발제품",충남,반입,6291
2022,"가죽, 가방 및 신발제품",충남,반출,4688
2022,"가죽, 가방 및 신발제품",충남,합계,10979
2022,"가죽, 가방 및 신발제품",전북,반입,3303
2022,"가죽, 가방 및 신발제품",전북,반출,0
2022,"가죽, 가방 및 신발제품",전북,합계,3303
2022,"가죽, 가방 및 신발제품",전남,반입,18388
2022,"가죽, 가방 및 신발제품",전남,반출,0
2022,"가죽, 가방 및 신발제품",전남,합계,18388
2022,"가죽, 가방 및 신발제품",경북,반입,7311
2022,"가죽, 가방 및 신발제품",경북,반출,2546
2022,"가죽, 가방 및 신발제품",경북,합계,9857
2022,"가죽, 가방 및 신발제품",경남,반입,10335
