지역,기간,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
광주광역시,2001,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품,0.0,0.0,4.0,32.0,-32.0
광주광역시,2001,67,조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품,,,,,0.0
광주광역시,2001,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,21.0,182.0,605.0,3315.0,-3133.0
광주광역시,2001,69,도자제품,86.0,2944.0,168.0,2249.0,694.0
광주광역시,2001,70,유리와유리제품,19.0,37.0,110.0,1407.0,-1370.0
광주광역시,2001,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,14.0,130.0,73.0,2024.0,-1894.0
광주광역시,2001,72,철강,181.0,4960.0,180.0,3350.0,1610.0
광주광역시,2001,73,철강의제품,595.0,12152.0,696.0,3474.0,8678.0
광주광역시,2001,74,구리와그제품,12.0,55.0,152.0,3500.0,-3444.0
광주광역시,2001,75,니켈과그제품,1.0,0.0,12.0,75.0,-74.0
광주광역시,2001,76,알루미늄과그제품,284.0,6600.0,260.0,2976.0,3624.0
광주광역시,2001,78,납과그제품,5.0,3.0,86.0,4777.0,-4773.0
광주광역시,2001,79,아연과그제품,7.0,154.0,28.0,2360.0,-2207.0
광주광역시,2001,80,주석과그제품,0.0,0.0,41.0,1576.0,-1576.0
광주광역시,2001,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,1.0,1.0,57.0,416.0,-415.0
광주광역시,2001,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,91.0,3741.0,217.0,1098.0,2643.0
광주광역시,2001,83,비금속(卑金屬)으로만든각종제품,13.0,87.0,34.0,403.0,-316.0
광주광역시,2001,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,18415.0,583836.0,3969.0,75943.0,507894.0
광주광역시,2001,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,23237.0,1788459.0,20153.0,1248932.0,539527.0
광주광역시,2001,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,12.0,23.0,8.0,12.0,11.0
광주광역시,2001,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,3904.0,460436.0,482.0,17341.0,443095.0
광주광역시,2001,88,항공기와우주선이들의부분품,0.0,0.0,2.0,13.0,-13.0
광주광역시,2001,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,150.0,6132.0,1277.0,22674.0,-16542.0
광주광역시,2001,91,시계와그부분품,2.0,2.0,45.0,42.0,-40.0
광주광역시,2001,92,악기와그부분품과부속품,37.0,279.0,26.0,201.0,78.0
광주광역시,2001,93,무기ㆍ총포탄과이들의부분품과부속품,0.0,0.0,4.0,6.0,-6.0
광주광역시,2001,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,35.0,741.0,104.0,735.0,7.0
광주광역시,2001,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,284.0,33844.0,74.0,3833.0,30011.0
광주광역시,2001,96,잡품,62.0,246.0,85.0,506.0,-260.0
